,country,lat,long
0,Burundi,-3.426449,29.9324519
1,Angola,-11.8775768,17.5691241
2,Tanzania (United Republic of),-6.5247123,35.7878438
3,Cameroon,4.6125522,13.1535811
4,Democratic Republic of the Congo,-2.9814344,23.8222636
5,Uganda,1.5333554,32.2166578
6,Kenya,1.4419683,38.4313975
7,Sudan,12.8628,30.2176
8,Niger,17.7356214,9.3238432
9,Mozambique,-19.302233,34.9144977
10,Rwanda,-1.9646631,30.0644358
11,Togo,8.7800265,1.0199765
12,South Sudan,7.8699431,29.6667897
13,Cote d'Ivoire,7.9897371,-5.5679458
14,Gambia,13.470062,-15.4900464
15,Mali,16.3700359,-2.2900239
16,Chad,15.6134137,19.0156172
17,Liberia,5.7499721,-9.3658524
18,Guinea-Bissau,11.815215,-15.2351044
19,Malawi,-13.2687204,33.9301963
20,Zimbabwe,-18.4554963,29.7468414
21,Central African Republic,7.0323598,19.9981227
22,Nigeria,9.6000359,7.9999721
23,Ethiopia,10.2116702,38.6521203
24,Ghana,8.0300284,-1.0800271
25,Djibouti,11.8145966,42.8453061
26,Benin,9.5293472,2.2584408
27,Senegal,14.4750607,-14.4529612
28,Burkina Faso,12.0753083,-1.6880314
29,Sierra Leone,8.6400349,-11.8400269
30,Zambia,-14.5189121,27.5589884
31,Guinea,10.7226226,-10.7083587
32,Somalia,8.3676771,49.083416
